stad,dag,dagGemTemp,dagMinTemp,dagMaxTemp
Rotterdam,2016/01/01,56,17,87
Rotterdam,2016/01/02,69,53,83
Rotterdam,2016/01/03,73,48,88
Rotterdam,2016/01/04,66,46,79
Rotterdam,2016/01/05,70,59,79
Rotterdam,2016/01/06,54,42,69
Rotterdam,2016/01/07,68,57,89
Rotterdam,2016/01/08,60,33,82
Rotterdam,2016/01/09,64,35,82
Rotterdam,2016/01/10,69,49,89
Rotterdam,2016/01/11,57,34,74
Rotterdam,2016/01/12,65,50,75
Rotterdam,2016/01/13,54,25,71
Rotterdam,2016/01/14,42,23,58
Rotterdam,2016/01/15,27,4,48
Rotterdam,2016/01/16,35,1,64
Rotterdam,2016/01/17,-2,-49,32
Rotterdam,2016/01/18,-19,-36,5
Rotterdam,2016/01/19,-10,-68,20
Rotterdam,2016/01/20,21,-21,53
Rotterdam,2016/01/21,-1,-35,13
Rotterdam,2016/01/22,24,-8,73
Rotterdam,2016/01/23,73,40,98
Rotterdam,2016/01/24,81,55,107
Rotterdam,2016/01/25,104,72,140
Rotterdam,2016/01/26,91,67,105
Rotterdam,2016/01/27,107,83,119
Rotterdam,2016/01/28,66,47,91
Rotterdam,2016/01/29,87,60,104
Rotterdam,2016/01/30,75,47,97
Rotterdam,2016/01/31,76,52,117